,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
0,0,job,0.14491500049749653,530,525,5
1,1,table,0.1029796587876006,414,406,8
2,2,id,0.1004319891651803,577,525,52
3,3,services,0.09776092568455451,378,371,7
4,4,action,0.09721660905697455,396,388,8
5,5,oozie,0.09424476112449412,346,346,0
6,6,loc,0.08793936976295982,2804,1402,1402
7,7,coord,0.08263782720878801,307,307,0
8,8,xml,0.07528721680908017,356,341,15
9,9,getid,0.07462750408637384,288,287,1
10,10,coordinator,0.07418817836510425,278,278,0
11,11,get,0.06913188837222863,2194,1260,934
12,12,workflow,0.06333959802931788,240,240,0
13,13,throws_keyword,0.06156855531411635,2348,1327,1021
14,14,getstatus,0.0613196196267442,248,246,2
15,15,record,0.05969417540133884,314,296,18
16,16,service,0.059092626070019125,451,383,68
17,17,jpa,0.05411552613636775,207,207,0
18,18,jpaservice,0.05218170354304141,200,200,0
19,19,wf,0.04998120143983045,192,192,0
20,20,coordinatorjob,0.047790824376541696,184,184,0
21,21,call,0.04777561167742202,374,297,77
22,22,getfilesystem,0.04728787446811885,219,213,6
23,23,case,0.04693691237083236,274,246,28
24,24,coordinatoraction,0.04289899445863557,166,166,0
25,25,app,0.04237018377976755,221,210,11
26,26,execute,0.04031521206350207,325,279,46
27,27,system,0.038775062036519474,533,405,128
28,28,addrecordtocoordjobtable,0.03859244700863951,150,150,0
29,29,keywordcount,0.03852093132358067,2804,1402,1402
30,30,assert,0.03560658332123451,2305,1193,1112
31,31,node,0.035532751866200724,233,208,25
32,32,evaluate,0.03543145475608496,141,139,2
33,33,then,0.034294580802071595,293,98,195
34,34,return,0.03409860310087206,236,25,211
35,35,cluster,0.03403930152807242,179,170,9
36,36,status,0.03324142518846224,450,350,100
37,37,date,0.03233894253563664,219,195,24
38,38,wait,0.03210692495278452,273,228,45
39,39,dateutils,0.03194031979357054,125,125,0
40,40,mockito,0.0314313795624163,188,13,175
41,41,thenreturn,0.03141988413454861,192,14,178
42,42,cmd,0.029001299475374494,134,130,4
43,43,workflowjob,0.02877990985739433,113,113,0
44,44,runtest,0.02851748327680125,112,112,0
45,45,add,0.028495909319878242,759,515,244
46,46,getfstestcasedir,0.02825520067724796,111,111,0
47,47,to,0.02821699478096816,1248,766,482
48,48,dfs,0.027789087764691387,130,125,5
49,49,jobid,0.027731066761765424,109,109,0
50,50,00,0.02712611235595966,133,123,10
51,51,actions,0.027021068744796713,112,111,1
52,52,tz,0.026753004727361012,113,112,1
53,53,client,0.02600820734867338,314,243,71
54,54,parsedateoozietz,0.02590110930838506,102,102,0
55,55,addrecordtocoordactiontable,0.025640257495420413,101,101,0
56,56,bundle,0.025640257495420364,101,101,0
57,57,workflowinstance,0.025379547865147498,100,100,0
58,58,end,0.025054599430097853,263,207,56
59,59,parse,0.02490775584211359,278,217,61
60,60,coord-action-get,0.024338127940381843,96,96,0
61,61,waitfor,0.02403090333539299,133,125,8
62,62,nodes,0.0238202231724289,131,122,9
63,63,oozieclient,0.023298970050584154,92,92,0
64,64,apppath,0.022780236168114656,90,90,0
65,65,gettestuser,0.02252107993508555,89,89,0
66,66,is_security_enabled,0.02252107993508554,89,89,0
67,67,utils,0.02216949172323475,535,381,154
68,68,00z,0.022003188092312085,87,87,0
69,69,workflowaction,0.022003188092312068,87,87,0
70,70,for,0.021968792636129754,630,428,202
71,71,run,0.021659910301863546,372,264,108
72,72,restconstants,0.021227399515342166,84,84,0
73,73,t01,0.02122739951534216,84,84,0
74,74,is_,0.0208095698969801,90,89,1
75,75,numdatanodes,0.020452866184368153,81,81,0
76,76,geterrorcode,0.020452866184368146,81,81,0
77,77,session,0.02039614774278317,126,86,40
78,78,charsets,0.020304529231837645,88,1,87
79,79,security_,0.02024326085129884,91,89,2
80,80,gettestcasedir,0.02019496661909645,80,80,0
81,81,x,0.02018869978253952,143,110,33
82,82,mock,0.020080308155599344,306,92,214
83,83,errorcode,0.01993720589923284,79,79,0
84,84,standard,0.01978321390176741,86,1,85
85,85,addrecordtowfjobtable,0.019679583868913955,78,78,0
86,86,verify,0.019602869545091803,374,100,274
87,87,standardcharsets,0.01927094836581008,84,1,83
88,88,addrecordtobundlejobtable,0.019164755254829538,76,76,0
89,89,action2,0.01916475525482952,76,76,0
90,90,final_keyword,0.01902992530837054,836,387,449
91,91,return_keyword,0.018545320490387984,349,253,96
92,92,classes,0.018453787299313816,84,80,4
93,93,constants,0.01831936706549229,139,124,15
94,94,user,0.018302381409119113,295,194,101
95,95,data,0.01824793356462687,348,250,98
96,96,dir,0.018168272682635538,364,262,102
97,97,new_keyword,0.01810160847598043,2116,1107,1009
98,98,action1,0.017880099928713186,71,71,0
99,99,fs,0.01768561979993815,350,254,96
100,100,setsystemproperty,0.017623581836342328,70,70,0
101,101,one,0.01747149683516902,204,154,50
102,102,config,0.01745322422316303,189,104,85
103,103,el,0.017367201042960644,69,69,0
104,104,create,0.017226184933864318,798,460,338
105,105,method,0.01716268204568507,162,51,111
106,106,script,0.017093902994342842,72,69,3
107,107,row,0.01696118383235624,79,76,3
108,108,url,0.016927279791613976,231,154,77
109,109,boolean_keyword,0.01682202823448394,198,161,37
110,110,num,0.01671690360102554,192,151,41
111,111,uri,0.016511641080475377,225,168,57
112,112,enabled,0.016453409590369047,123,109,14
113,113,test,0.01637476731076282,2517,1250,1267
114,114,randomutils,0.016343047800054578,65,65,0
115,115,running,0.01633781537910651,86,81,5
116,116,block,0.016333685744822315,119,104,15
117,117,metrics,0.016068667790019142,86,7,79
118,118,rest,0.0159378969193122,103,94,9
119,119,submit,0.015832921221458386,114,93,21
120,120,functions,0.015831791002914132,63,63,0
121,121,//,0.015574217642726353,84,80,4
122,122,matchers,0.015535781666303422,74,2,72
123,123,getcontexturl,0.015321079135702229,61,61,0
124,124,oozieurl,0.015321079135702229,61,61,0
125,125,null,0.015227505462463153,569,368,201
126,126,init,0.015143284365566754,288,196,92
127,127,shutdown,0.014831838595184277,175,142,33
128,128,dag,0.014810910988969073,59,59,0
129,129,${coord,0.014810910988969068,59,59,0
130,130,z,0.014720114766444279,123,102,21
131,131,set,0.01460586468099434,1104,652,452
132,132,print,0.014600870462170366,126,98,28
133,133,end_,0.014556030433969094,58,58,0
134,134,not,0.01441144987114493,836,474,362
135,135,end_points,0.01430128535743494,57,57,0
136,136,servlet_classes,0.01430128535743494,57,57,0
137,137,waitactive,0.01430128535743494,57,57,0
138,138,actionxml,0.014301285357434915,57,57,0
139,139,context,0.014242554402237182,372,159,213
140,140,conf,0.014203124697046024,732,451,281
141,141,getconf,0.014077912659284583,120,105,15
142,142,coordjob,0.014046675609357406,56,56,0
143,143,def,0.014032397984491955,56,55,1
144,144,update,0.01394543691444723,129,103,26
145,145,code,0.013745409222188698,246,175,71
146,146,active,0.013716313841151823,93,72,21
147,147,stuff,0.013714763223007926,65,2,63
148,148,kill,0.01367619137163369,59,58,1
149,149,executor,0.013634813209322541,157,125,32
150,150,play,0.013537861499830911,54,54,0
151,151,xmlutils,0.0135378614998309,54,54,0
152,152,dfsconfigkeys,0.013537861499830897,54,54,0
153,153,1,0.013452255141507777,414,258,156
154,154,file,0.013332760815294203,617,390,227
155,155,coordelfunctions,0.013283656839652505,53,53,0
156,156,t23,0.013283656839652493,53,53,0
157,157,runnable,0.013270172909619356,53,52,1
158,158,given,0.013216739980144464,79,74,5
159,159,59,0.013216449741947179,56,54,2
160,160,select,0.01320510705673506,68,65,3
161,161,destroy,0.012888028705316499,139,112,27
162,162,where,0.01285085902368498,72,68,4
163,163,addrecordtowfactiontable,0.012775651563572604,51,51,0
164,164,check,0.012565424732241554,355,236,119
165,165,manager,0.012561020259337058,130,99,31
166,166,executescripttemplate,0.012521850650482627,50,50,0
167,167,scriptexecutor,0.012521850650482627,50,50,0
168,168,cql,0.012521850650482617,50,50,0
169,169,path,0.012375494463657894,429,248,181
170,170,start,0.012371106544846952,470,312,158
171,171,datanode,0.012268184022994514,49,49,0
172,172,addrecordtobundleactiontable,0.01226818402299451,49,49,0
173,173,mockdagengineservice,0.01226818402299451,49,49,0
174,174,c,0.012218688336000275,145,105,40
175,175,from,0.012214506647942673,282,179,103
176,176,codec,0.012124066112792558,52,1,51
177,177,catch_keyword,0.012098098851543015,583,361,222
178,178,2009-02-01,0.012014651533148948,48,48,0
179,179,xmlns=\,0.012014651533148945,48,48,0
180,180,parsexml,0.012014651533148943,48,48,0
181,181,db,0.01201465153314894,48,48,0
182,182,public_keyword,0.011909832265596228,2800,1399,1401
183,183,http,0.011834672075180797,198,83,115
184,184,array,0.011796703789223106,136,28,108
185,185,addnode,0.011761253033244892,47,47,0
186,186,servlet_,0.011666273104530155,59,57,2
187,187,connection,0.011619461533415492,170,131,39
188,188,error,0.011598587482332959,244,173,71
189,189,assertnotnull,0.011586676858988496,383,264,119
190,190,nextlong,0.011573397218684535,72,67,5
191,191,immutablemap,0.011500986728439529,53,52,1
192,192,bean,0.011390736531766851,74,68,6
193,193,id1,0.011328913429621251,51,50,1
194,194,long,0.011296035431015303,179,117,62
195,195,argument,0.011291675555739369,69,5,64
196,196,getnamenodeuri,0.011254857413712238,45,45,0
197,197,hcat,0.011254857413712238,45,45,0
198,198,points,0.01124651373260131,62,59,3
199,199,equals,0.011219894021032573,1576,876,700
200,200,fail,0.011165724549739468,486,304,182
201,201,wrap,0.011145923815786574,71,37,34
202,202,jobs,0.011001859999942618,44,44,0
203,203,_test,0.010886193046398424,78,70,8
204,204,been,0.010836688460327641,124,56,68
205,205,insert,0.010829264927815309,56,53,3
206,206,time,0.010795981214835753,406,254,152
207,207,should,0.010776784615242719,463,206,257
208,208,map,0.010754537104848166,148,101,47
209,209,channel,0.010727384218444474,73,7,66
210,210,as,0.01071605692432429,334,225,109
211,211,core,0.010620405315221633,55,6,49
212,212,ae,0.010517941783480169,49,47,2
213,213,take,0.010517364230231082,53,45,8
214,214,xdatatestcase,0.010496265230928406,42,42,0
215,215,key,0.010303658250249901,247,103,144
216,216,stack,0.0102519684102826,98,83,15
217,217,transit,0.010243667583049228,41,41,0
218,218,>,0.010112851129587899,64,59,5
219,219,info,0.01010909590145044,229,160,69
220,220,try_keyword,0.010086346277991938,800,474,326
221,221,equalto,0.010023447846010222,47,1,46
222,222,builddatekey,0.00999120289824821,40,40,0
223,223,header,0.009873007208658788,196,93,103
224,224,=,0.009761963573346962,112,84,28
225,225,purge,0.009738871030833172,39,39,0
226,226,rerun,0.009738871030833172,39,39,0
227,227,name=\,0.00973887103083317,39,39,0
228,228,getjobtrackeruri,0.009738871030833166,39,39,0
229,229,current,0.009729485796859522,221,140,81
