,position,token,information_gain,total_ocurences,total_flaky_occurences,total_nonflaky_occurences
0,0,getname,8.881784197001252e-16,22,22,0
1,1,namingcontext,8.881784197001252e-16,22,22,0
2,2,same,8.881784197001252e-16,22,22,0
3,3,await,8.673617379884035e-16,14,14,0
4,4,export,8.673617379884035e-16,14,14,0
5,5,return_keyword,8.465450562766819e-16,17,17,0
6,6,be,8.465450562766819e-16,17,17,0
7,7,handler,8.465450562766819e-16,30,30,0
8,8,is,8.465450562766819e-16,17,17,0
9,9,this_keyword,8.396061623727746e-16,14,14,0
10,10,protocol,8.396061623727746e-16,14,14,0
11,11,},8.396061623727746e-16,14,14,0
12,12,collections,8.187894806610529e-16,17,17,0
13,13,context,8.187894806610529e-16,19,19,0
14,14,server,8.118505867571457e-16,14,14,0
15,15,task,8.049116928532385e-16,19,19,0
16,16,of,7.632783294297951e-16,19,19,0
17,17,taskpayloadbuilder,7.632783294297951e-16,19,19,0
18,18,url,6.938893903907228e-16,40,40,0
19,19,try_keyword,6.661338147750939e-16,51,51,0
20,20,class_keyword,5.412337245047638e-16,73,73,0
21,21,assertequals,3.885780586188048e-16,122,122,0
22,22,add,8.326672684688674e-17,24,24,0
23,23,result,8.326672684688674e-17,23,23,0
24,24,false_keyword,5.551115123125783e-17,35,35,0
25,25,assert,5.551115123125783e-17,29,29,0
26,26,build,5.551115123125783e-17,29,29,0
27,27,fail,5.551115123125783e-17,31,31,0
28,28,lookup,5.551115123125783e-17,28,28,0
29,29,ok,5.551115123125783e-17,29,29,0
30,30,with,5.551115123125783e-17,29,29,0
31,31,void_keyword,4.163336342344337e-17,256,256,0
32,32,the,4.163336342344337e-17,42,42,0
33,33,0,2.7755575615628914e-17,23,23,0
34,34,tostring,2.7755575615628914e-17,16,16,0
35,35,loc,0.0,256,256,0
36,36,abstract_keyword,0.0,1,1,0
37,37,assert_keyword,0.0,202,202,0
38,38,boolean_keyword,0.0,5,5,0
39,39,break_keyword,0.0,1,1,0
40,40,byte_keyword,0.0,7,7,0
41,41,case_keyword,0.0,1,1,0
42,42,catch_keyword,0.0,32,32,0
43,43,char_keyword,0.0,1,1,0
44,44,continue_keyword,0.0,0,0,0
45,45,default_keyword,0.0,8,8,0
46,46,do_keyword,0.0,42,42,0
47,47,double_keyword,0.0,1,1,0
48,48,else_keyword,0.0,7,7,0
49,49,enum_keyword,0.0,1,1,0
50,50,exports_keyword,0.0,0,0,0
51,51,extends_keyword,0.0,0,0,0
52,52,final_keyword,0.0,87,87,0
53,53,finally_keyword,0.0,10,10,0
54,54,float_keyword,0.0,1,1,0
55,55,for_keyword,0.0,48,48,0
56,56,if_keyword,0.0,64,64,0
57,57,implements_keyword,0.0,0,0,0
58,58,import_keyword,0.0,1,1,0
59,59,instanceof_keyword,0.0,13,13,0
60,60,int_keyword,0.0,47,47,0
61,61,interface_keyword,0.0,1,1,0
62,62,long_keyword,0.0,10,10,0
63,63,modules_keyword,0.0,0,0,0
64,64,native_keyword,0.0,1,1,0
65,65,new_keyword,0.0,181,181,0
66,66,package_keyword,0.0,0,0,0
67,67,private_keyword,0.0,1,1,0
68,68,protected_keyword,0.0,3,3,0
69,69,public_keyword,0.0,256,256,0
70,70,requires_keyword,0.0,1,1,0
71,71,short_keyword,0.0,1,1,0
72,72,static_keyword,0.0,1,1,0
73,73,strictfp_keyword,0.0,0,0,0
74,74,super_keyword,0.0,0,0,0
75,75,switch_keyword,0.0,0,0,0
76,76,synchronized_keyword,0.0,2,2,0
77,77,throw_keyword,0.0,175,175,0
78,78,throws_keyword,0.0,173,173,0
79,79,transient_keyword,0.0,0,0,0
80,80,volatile_keyword,0.0,0,0,0
81,81,while_keyword,0.0,3,3,0
82,82,true_keyword,0.0,38,38,0
83,83,null_keyword,0.0,55,55,0
84,84,const_keyword,0.0,1,1,0
85,85,goto_keyword,0.0,0,0,0
86,86,keywordcount,0.0,256,256,0
87,87,$radius,0.0,1,1,0
88,88,$side,0.0,1,1,0
89,89,%d,0.0,4,4,0
90,90,%d-th,0.0,1,1,0
91,91,%s,0.0,1,1,0
92,92,*********,0.0,1,1,0
93,93,++++++++++++++,0.0,1,1,0
94,94,-,0.0,2,2,0
95,95,-cacheconfigwithexpiration,0.0,1,1,0
96,96,/,0.0,5,5,0
97,97,//,0.0,3,3,0
98,98,//%s,0.0,4,4,0
99,99,//0,0.0,4,4,0
100,100,//127,0.0,12,12,0
101,101,//localhost,0.0,5,5,0
102,102,//www,0.0,1,1,0
103,103,/a,0.0,1,1,0
104,104,/baz,0.0,1,1,0
105,105,/sequential,0.0,1,1,0
106,106,/sequential/test_ephemeral_sequential,0.0,1,1,0
107,107,/test,0.0,2,2,0
108,108,/test_job/instances/127,0.0,2,2,0
109,109,/view,0.0,4,4,0
110,110,/view/testaction,0.0,4,4,0
111,111,/ws/,0.0,1,1,0
112,112,/ws/chat/bob,0.0,1,1,0
113,113,0*27,0.0,1,1,0
114,114,0*3a,0.0,1,1,0
115,115,0/,0.0,1,1,0
116,116,0/org,0.0,1,1,0
117,117,00,0.0,5,5,0
118,118,00+08,0.0,2,2,0
119,119,000,0.0,1,1,0
120,120,1,0.0,25,25,0
121,121,10,0.0,3,3,0
122,122,100,0.0,21,21,0
123,123,100ms,0.0,1,1,0
124,124,10px,0.0,1,1,0
125,125,123,0.0,1,1,0
126,126,12345,0.0,3,3,0
127,127,123},0.0,2,2,0
128,128,14,0.0,1,1,0
129,129,152841225111920,0.0,1,1,0
130,130,15mqdbp000g@qolei69pvgan0d0=,0.0,1,1,0
131,131,18,0.0,1,1,0
132,132,1@-@0,0.0,2,2,0
133,133,2,0.0,5,5,0
134,134,2*4c,0.0,1,1,0
135,135,20,0.0,3,3,0
136,136,200,0.0,1,1,0
137,137,2000,0.0,1,1,0
138,138,2001-12-31,0.0,1,1,0
139,139,20140417,0.0,1,1,0
140,140,20140418,0.0,2,2,0
141,141,20140419,0.0,1,1,0
142,142,20140420,0.0,2,2,0
143,143,2016-04-29,0.0,1,1,0
144,144,2017-08-15,0.0,1,1,0
145,145,2017-08-15t20,0.0,1,1,0
146,146,2018-09-11t21,0.0,1,1,0
147,147,2018-09-12t15,0.0,1,1,0
148,148,20259/testservice,0.0,1,1,0
149,149,20885/demo,0.0,2,2,0
150,150,29,0.0,1,1,0
151,151,292232611@qq,0.0,1,1,0
152,152,3,0.0,4,4,0
153,153,30,0.0,2,2,0
154,154,31/12/2001,0.0,1,1,0
155,155,4,0.0,2,2,0
156,156,404,0.0,1,1,0
157,157,42,0.0,1,1,0
158,158,420180319160440,0.0,1,1,0
159,159,456,0.0,1,1,0
160,160,5,0.0,3,3,0
161,161,5342/,0.0,2,2,0
162,162,55555,0.0,1,1,0
163,163,55da><02=6wppuid000qtf059@dlu<00000000171lmdd4q20lmdp3hb,0.0,1,1,0
164,164,6,0.0,1,1,0
165,165,7,0.0,1,1,0
166,166,789,0.0,1,1,0
167,167,8,0.0,1,1,0
168,168,9020/,0.0,1,1,0
169,169,9050/,0.0,3,3,0
170,170,9090/org,0.0,1,1,0
171,171,=,0.0,2,2,0
172,172,================,0.0,1,1,0
173,173,==============================,0.0,1,1,0
174,174,@info,0.0,1,1,0
175,175,@setup,0.0,1,1,0
176,176,@type,0.0,2,2,0
177,177,[,0.0,1,1,0
178,178,],0.0,2,2,0
179,179,_logger,0.0,1,1,0
180,180,a,0.0,9,9,0
181,181,abc,0.0,2,2,0
182,182,able,0.0,7,7,0
183,183,abnormal,0.0,1,1,0
184,184,absent,0.0,2,2,0
185,185,absolute,0.0,1,1,0
186,186,abstract,0.0,1,1,0
187,187,abstractserializetest$a,0.0,2,2,0
188,188,accept,0.0,8,8,0
189,189,accepted,0.0,2,2,0
190,190,acreatestandalonetaskandcomplete,0.0,1,1,0
191,191,acreatestandalonetaskanddelete,0.0,1,1,0
192,192,acreatestandalonetaskforanotherassignee,0.0,1,1,0
193,193,acreatestandalonetaskforgroup,0.0,2,2,0
194,194,act,0.0,1,1,0
195,195,action_param,0.0,4,4,0
196,196,active,0.0,1,1,0
197,197,activecount,0.0,1,1,0
198,198,activethreadscount,0.0,1,1,0
199,199,activititeam,0.0,2,2,0
200,200,actual,0.0,1,1,0
201,201,addall,0.0,1,1,0
202,202,addcallback,0.0,1,1,0
203,203,addconstructorargvalue,0.0,1,1,0
204,204,addendpoint,0.0,1,1,0
205,205,addexpectation,0.0,1,1,0
206,206,adding,0.0,1,1,0
207,207,additionalinitialization,0.0,1,1,0
208,208,addlistener,0.0,5,5,0
209,209,addmessagehandler,0.0,1,1,0
210,210,addop,0.0,2,2,0
211,211,addparameter,0.0,5,5,0
212,212,addr,0.0,5,5,0
213,213,address,0.0,3,3,0
214,214,addstep,0.0,2,2,0
215,215,addtile,0.0,1,1,0
216,216,admin,0.0,1,1,0
217,217,administrors,0.0,1,1,0
218,218,after,0.0,3,3,0
219,219,again,0.0,2,2,0
220,220,ais_05_1,0.0,1,1,0
221,221,ais_05_2,0.0,1,1,0
222,222,aismessage,0.0,2,2,0
223,223,aismessagehandler,0.0,2,2,0
224,224,aismessagereceiver,0.0,2,2,0
225,225,aismessagetype,0.0,2,2,0
226,226,aivdm,0.0,2,2,0
227,227,alibaba,0.0,2,2,0
228,228,alienuserdao,0.0,1,1,0
229,229,all,0.0,4,4,0
230,230,allcurrent,0.0,1,1,0
231,231,allitems,0.0,1,1,0
232,232,alllexemes,0.0,1,1,0
233,233,allproperties,0.0,1,1,0
234,234,already,0.0,2,2,0
235,235,amazonwebserviceclientconfigurationutils,0.0,1,1,0
236,236,amf,0.0,1,1,0
237,237,an,0.0,4,4,0
238,238,and,0.0,9,9,0
239,239,andanswer,0.0,1,1,0
240,240,andthrow,0.0,1,1,0
241,241,annotatedclientendpoint,0.0,1,1,0
242,242,anton,0.0,2,2,0
243,243,any,0.0,6,6,0
244,244,anyseries,0.0,1,1,0
245,245,anything,0.0,2,2,0
246,246,apache,0.0,6,6,0
247,247,app-error,0.0,1,1,0
248,248,append,0.0,7,7,0
249,249,application/json,0.0,1,1,0
250,250,appropriate,0.0,3,3,0
251,251,ar,0.0,1,1,0
252,252,argumentcaptor,0.0,2,2,0
253,253,arrange,0.0,1,1,0
254,254,arrayoffunction,0.0,1,1,0
255,255,arrays,0.0,9,9,0
256,256,as,0.0,6,6,0
257,257,asc,0.0,2,2,0
258,258,aslist,0.0,9,9,0
259,259,asm,0.0,1,1,0
260,260,asmnotloadedexception,0.0,1,1,0
261,261,assertanyvalue,0.0,1,1,0
262,262,assertcreatejobstatisticsapi,0.0,1,1,0
263,263,assertcreateserverstatisticsapi,0.0,1,1,0
264,264,assertequalrevisionlists,0.0,1,1,0
265,265,assertfalse,0.0,13,13,0
266,266,assertfindjobstatustraceeventswithtime,0.0,1,1,0
267,267,assertgetcurrentshardingtotalcountifnull,0.0,1,1,0
268,268,assertisshutdownalready,0.0,1,1,0
269,269,assertnotnull,0.0,21,21,0
270,270,assertnull,0.0,11,11,0
271,271,assertpersistephemeralsequential,0.0,1,1,0
272,272,asserts_status_code_display_body,0.0,1,1,0
273,273,assertthat,0.0,38,38,0
274,274,asserttrue,0.0,71,71,0
275,275,asstring,0.0,1,1,0
276,276,async,0.0,12,12,0
277,277,asyncassertsuccess,0.0,6,6,0
278,278,atleast,0.0,1,1,0
279,279,attach,0.0,2,2,0
280,280,attachkey,0.0,2,2,0
281,281,attachment,0.0,2,2,0
282,282,attachments,0.0,2,2,0
283,283,attachvalue,0.0,2,2,0
284,284,attempting,0.0,1,1,0
285,285,attribute,0.0,1,1,0
286,286,authenticated,0.0,2,2,0
287,287,authenticateduserid,0.0,10,10,0
288,288,authentication,0.0,2,2,0
289,289,available,0.0,1,1,0
290,290,awaitasync,0.0,1,1,0
291,291,awaitsuccess,0.0,3,3,0
292,292,awaittermination,0.0,2,2,0
293,293,b,0.0,6,6,0
294,294,bar,0.0,4,4,0
295,295,barbara,0.0,2,2,0
296,296,basiccancel,0.0,1,1,0
297,297,basicconsume,0.0,2,2,0
298,298,basicconsumer,0.0,3,3,0
299,299,basicpublish,0.0,2,2,0
300,300,baz,0.0,2,2,0
301,301,bcreatechecktaskcreatedforsalaboyfromanotheruser,0.0,1,1,0
302,302,bcreatestandalonetask,0.0,1,1,0
303,303,beandefinitionbuilder,0.0,1,1,0
304,304,beanfactory,0.0,1,1,0
305,305,because,0.0,1,1,0
306,306,before,0.0,2,2,0
307,307,begintime,0.0,1,1,0
308,308,behaviors,0.0,1,1,0
309,309,behavioural,0.0,1,1,0
310,310,bind,0.0,25,25,0
311,311,binding,0.0,2,2,0
312,312,binding-type,0.0,2,2,0
